AHL,20200717,0.005,0.005,0.005,0.005,0
AHN,20200717,0.02,0.02,0.02,0.02,0
AHQ,20200717,0.066,0.066,0.066,0.066,97214
AHX,20200717,0.465,0.465,0.45,0.45,127122
AHY,20200717,0.99,0.995,0.985,0.985,56801
AIA,20200717,5.73,5.85,5.72,5.81,715230
AIB,20200717,0.052,0.052,0.052,0.052,0
AIQ,20200717,0.12,0.12,0.12,0.12,4167
AIR,20200717,0.7,0.7,0.7,0.7,0
AIS,20200717,0.041,0.042,0.039,0.039,3085378
AIV,20200717,0.13,0.13,0.13,0.13,0
AIY,20200717,0.03,0.03,0.03,0.03,0
AIYOB,20200717,0.006,0.006,0.006,0.006,0
AIZ,20200717,1.25,1.255,1.215,1.215,1134027
AJC,20200717,0.001,0.001,0.001,0.001,0
AJJ,20200717,0.024,0.024,0.024,0.024,0
AJL,20200717,0.035,0.035,0.034,0.034,79860
AJM,20200717,0.061,0.062,0.06,0.06,1185472
AJMOB,20200717,0.014,0.014,0.014,0.014,19231
AJQ,20200717,0.02,0.02,0.02,0.02,36771
AJX,20200717,0.051,0.053,0.051,0.053,612643
AJY,20200717,0.12,0.12,0.12,0.12,0
AKG,20200717,0.24,0.25,0.24,0.25,25960
AKM,20200717,0.079,0.079,0.079,0.079,5389
AKN,20200717,0.002,0.002,0.002,0.002,0
AKP,20200717,19.4,21.09,19.4,20.34,19938
AL3,20200717,0.2,0.2,0.18,0.2,406924
AL8,20200717,0.11,0.115,0.11,0.115,113781
ALC,20200717,0.155,0.16,0.155,0.155,1920761
ALD,20200717,27.71,27.89,27.59,27.81,626519
ALF,20200717,0.86,0.865,0.855,0.865,272510
ALG,20200717,0.355,0.36,0.345,0.35,1378953
ALI,20200717,2.12,2.12,2.1,2.12,17171
ALK,20200717,1.18,1.245,1.165,1.24,10829597
ALL,20200717,25.88,26.03,25.6,25.91,2269710
ALQ,20200717,7.33,7.48,7.25,7.4,1442729
ALT,20200717,0.002,0.002,0.002,0.002,0
ALU,20200717,32.6,32.9,32.15,32.47,577305
ALX,20200717,6.48,6.55,6.43,6.5,1130926
ALY,20200717,0.016,0.017,0.016,0.017,797189
AMA,20200717,0.54,0.565,0.54,0.56,1690831
AMB,20200717,0.02,0.02,0.02,0.02,0
AMC,20200717,15.35,15.46,15.27,15.37,2755586
AMD,20200717,0.009,0.009,0.009,0.009,1831517
AME,20200717,0.072,0.075,0.072,0.075,217371
AMG,20200717,0.03,0.03,0.03,0.03,727910
AMH,20200717,0.955,0.96,0.95,0.95,74000
AMI,20200717,0.56,0.582,0.54,0.55,3288453
AML,20200717,0.087,0.087,0.087,0.087,137138
AMN,20200717,0.52,0.53,0.52,0.53,33494
AMO,20200717,0.065,0.065,0.065,0.065,0
AMP,20200717,1.755,1.765,1.735,1.76,8127802
AMPPA,20200717,101.4,101.59,101.32,101.32,607
AMPPB,20200717,98.042,98.042,97,97,2150
AMS,20200717,0.45,0.45,0.43,0.45,305673
AMT,20200717,0.24,0.24,0.24,0.24,0
AMX,20200717,1.315,1.33,1.295,1.315,95421
ANA,20200717,0.017,0.018,0.017,0.018,550000
ANG,20200717,0.12,0.12,0.12,0.12,9666
ANL,20200717,0.001,0.001,0.001,0.001,1000000
ANN,20200717,39.27,39.5,38.21,38.47,709788
ANO,20200717,4.09,4.09,3.82,3.86,30294
ANP,20200717,0.105,0.11,0.105,0.11,721633
ANR,20200717,0.145,0.145,0.145,0.145,10000
ANS,20200717,0.017,0.017,0.017,0.017,0
ANW,20200717,0.001,0.001,0.001,0.001,0
ANZ,20200717,18.5,18.57,18.36,18.47,5190239
